route_id,runtime_archetype_id,roles,public_runtime_min,cycle_runtime_min,rail_to_bus_passenger_supported,bus_to_rail_passenger_supported,roundtrip_passenger_supported,passenger_support_class,support_evidence_status,passenger_demand_assigned_to_route,passenger_utility_calculated
R2_cbc5470318bc7e239f98,RT2_70d0edd71a19c3b4b048,PUBLIC,15.747548280,22.989376072,true,false,false,RAIL_TO_BUS_ONLY_PUBLIC_ROUTE_OPEN_AWAY_FROM_HUB,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbc59a3d1ed7564ca707,RT2_843a1a994074e2877841,EXTENSION,10.105276250,10.105276250,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbc5c41a3bcaa8a36711,RT2_765a1d16e8ebaeccb314,PUBLIC,22.180010150,26.237972191,true,false,false,RAIL_TO_BUS_ONLY_PUBLIC_ROUTE_OPEN_AWAY_FROM_HUB,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbc664078eb230dddbf2,RT2_eecdbe1178cc390d5f88,PUBLIC,44.492379026,44.492379026,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbc93e9e7ddc6c1df615,RT2_d3d56690cb18c71f76ab,PUBLIC,20.043829126,23.653711004,true,false,false,RAIL_TO_BUS_ONLY_PUBLIC_ROUTE_OPEN_AWAY_FROM_HUB,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbcaee0bda05c193ce2f,RT2_1250ac1af498283fb16b,PUBLIC,21.029483186,28.688659662,true,false,false,RAIL_TO_BUS_ONLY_PUBLIC_ROUTE_OPEN_AWAY_FROM_HUB,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbcb46c45f15b5ac5cb8,RT2_205532dcfa5eeb271a80,EXTENSION,21.091529616,21.091529616,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbcb7f3eb4bdc6ed854d,RT2_ae385e83c34b804493a2,PUBLIC,59.376599799,59.376599799,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbcbc5620576a74b4743,RT2_aad69ad3a7d1894cb2b6,PUBLIC,19.266115807,24.183313208,true,false,false,RAIL_TO_BUS_ONLY_PUBLIC_ROUTE_OPEN_AWAY_FROM_HUB,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbcca94da0fb14a4ac23,RT2_7d4dae5293c36c865f98,PUBLIC,36.435156625,36.435156625,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
