plan_context_id,selected_timetable_id,scenario_id,topology_family,public_route_count,uniform_headway_min,span_minutes,exact_annual_bus_km,public_population_coverage_share_10min,public_population_coverage_share_8min,public_population_coverage_share_5min,public_worst_municipality_coverage_share_10min,public_worst_municipality_coverage_share_8min,public_worst_municipality_coverage_share_5min,bidirectional_reachable_share,stage_e_bidirectional_worst_retention_share_engineering,stage_e_worst_minimum_block_slack_min_engineering,public_explicit_field_check_pending_count,public_operational_unknown_distance_share_lower_bound
reference|PU2_6d2b10fef25cbdf0,D4RT001V3_4b153fd2f282dae9,P2_05f8082fbcf36ac0,blank_slate,1,60,1110,83684.900994000,0.305382624867,0.219594129346,0.093530234175,0.131607387804,0.017816214136,0.0,0.27585931099,0.000000000,8.384258000,0,0.0
reference|PU2_8ee24de1a7b313bc,D4RT001V3_04824b6f8a718533,P2_a544a8e68095671f,single_compact_loop,1,60,1110,83684.900994000,0.305382624867,0.219594129346,0.093530234175,0.131607387804,0.017816214136,0.0,0.27585931099,0.000000000,8.384258000,0,0.0
