headway_class,stage,method,input_count,survivor_count
FREQUENT_H_LE_30,ROBUST_INPUT,FILTER,44,44
FREQUENT_H_LE_30,L1_TERRITORIAL_ACCESS_AND_AVAILABILITY,PARETO_NONDOMINANCE,44,14
HOURLY_H60,ROBUST_INPUT,FILTER,732,732
HOURLY_H60,L1_TERRITORIAL_ACCESS_AND_AVAILABILITY,PARETO_NONDOMINANCE,732,64
HOURLY_H60,L2_INTERCHANGE_AND_ENGINEERING_ROBUSTNESS,PARETO_NONDOMINANCE,64,18
HOURLY_H60,L3_IMPLEMENTABILITY_AND_EFFICIENCY,PARETO_NONDOMINANCE,18,2
FREQUENT_H_LE_30,DIAGNOSTIC_L2_INTERCHANGE_AND_ENGINEERING_ROBUSTNESS,PARETO_NONDOMINANCE,14,6
FREQUENT_H_LE_30,DIAGNOSTIC_L3_IMPLEMENTABILITY_AND_EFFICIENCY,PARETO_NONDOMINANCE,6,2
