timing_key,rows,non_regression_eligible,unique_metric_profile_count,frontier_metric_profile_count,frontier_scenario_count,reference_budget_frontier_scenario_count,reference_budget_frontier_retained_count,reference_budget_frontier_missing_count,service_ready_frontier_outside_reference_slice_count,frontier_family_counts_json
H15_CORE_0600_2200,100000,100000,50094,1115,2747,751,751,0,1996,"{""bidirectional_loop_pair"": 48, ""blank_slate"": 339, ""hybrid_interlined"": 157, ""interlined_figure8"": 341, ""multiple_short_radials"": 11, ""scheduled_extensions"": 576, ""short_turn_overlay"": 219, ""single_compact_loop"": 339, ""trunk_plus_branches"": 219, ""two_independent_loops"": 341, ""two_radial_out_and_back_feeders"": 157}"
H15_S8_EXTENDED_0530_2400,100000,100000,50094,977,2500,610,610,0,1890,"{""bidirectional_loop_pair"": 19, ""blank_slate"": 339, ""hybrid_interlined"": 56, ""interlined_figure8"": 266, ""multiple_short_radials"": 11, ""scheduled_extensions"": 576, ""short_turn_overlay"": 286, ""single_compact_loop"": 339, ""trunk_plus_branches"": 286, ""two_independent_loops"": 266, ""two_radial_out_and_back_feeders"": 56}"
H20_CORE_0600_2200,100000,100000,50094,1115,2747,914,914,0,1833,"{""bidirectional_loop_pair"": 48, ""blank_slate"": 339, ""hybrid_interlined"": 157, ""interlined_figure8"": 341, ""multiple_short_radials"": 11, ""scheduled_extensions"": 576, ""short_turn_overlay"": 219, ""single_compact_loop"": 339, ""trunk_plus_branches"": 219, ""two_independent_loops"": 341, ""two_radial_out_and_back_feeders"": 157}"
H20_S8_EXTENDED_0530_2400,100000,100000,50094,977,2500,755,755,0,1745,"{""bidirectional_loop_pair"": 19, ""blank_slate"": 339, ""hybrid_interlined"": 56, ""interlined_figure8"": 266, ""multiple_short_radials"": 11, ""scheduled_extensions"": 576, ""short_turn_overlay"": 286, ""single_compact_loop"": 339, ""trunk_plus_branches"": 286, ""two_independent_loops"": 266, ""two_radial_out_and_back_feeders"": 56}"
H30_CORE_0600_2200,100000,100000,50094,1115,2747,1294,1294,0,1453,"{""bidirectional_loop_pair"": 48, ""blank_slate"": 339, ""hybrid_interlined"": 157, ""interlined_figure8"": 341, ""multiple_short_radials"": 11, ""scheduled_extensions"": 576, ""short_turn_overlay"": 219, ""single_compact_loop"": 339, ""trunk_plus_branches"": 219, ""two_independent_loops"": 341, ""two_radial_out_and_back_feeders"": 157}"
H30_S8_EXTENDED_0530_2400,100000,100000,50094,977,2500,1051,1051,0,1449,"{""bidirectional_loop_pair"": 19, ""blank_slate"": 339, ""hybrid_interlined"": 56, ""interlined_figure8"": 266, ""multiple_short_radials"": 11, ""scheduled_extensions"": 576, ""short_turn_overlay"": 286, ""single_compact_loop"": 339, ""trunk_plus_branches"": 286, ""two_independent_loops"": 266, ""two_radial_out_and_back_feeders"": 56}"
H60_CORE_0600_2200,100000,100000,50094,1115,2747,2142,2142,0,605,"{""bidirectional_loop_pair"": 48, ""blank_slate"": 339, ""hybrid_interlined"": 157, ""interlined_figure8"": 341, ""multiple_short_radials"": 11, ""scheduled_extensions"": 576, ""short_turn_overlay"": 219, ""single_compact_loop"": 339, ""trunk_plus_branches"": 219, ""two_independent_loops"": 341, ""two_radial_out_and_back_feeders"": 157}"
H60_S8_EXTENDED_0530_2400,100000,100000,50094,1116,2749,1955,1955,0,794,"{""bidirectional_loop_pair"": 48, ""blank_slate"": 340, ""hybrid_interlined"": 157, ""interlined_figure8"": 341, ""multiple_short_radials"": 11, ""scheduled_extensions"": 576, ""short_turn_overlay"": 219, ""single_compact_loop"": 340, ""trunk_plus_branches"": 219, ""two_independent_loops"": 341, ""two_radial_out_and_back_feeders"": 157}"
