fixture_id,source_anchor_id_fixture_only,target_anchor_id_fixture_only,source_graph_node_id,target_graph_node_id,frozen_edge_count,frozen_runtime_min,frozen_distance_m,baseline_exact_edge_sequence,baseline_runtime_delta_min,baseline_distance_delta_m,baseline_turn_legal,baseline_legality_reason,baseline_physical_node_loop,corridors_admitted,generation_paths_examined,all_admitted_corridors_turn_legal,all_admitted_corridors_physical_loopless,all_admitted_corridors_not_faster_than_gate_d_shortest,fixture_generation_seconds,fixture_status,epoch_id
FIXTURE_01,gate_d:PEREGO,gate_d:ROVAGNATE,n:528193.74:5065060.08,n:529152.42:5064918.92,30,1.594327223,1026.434767,True,7.999823026239028e-12,-4.869998520007357e-07,True,PASS,False,2,11,True,True,True,0.20034401700000615,PASS,gate-d-2026-09-03-834d5caa0bfd
FIXTURE_02,gate_d:CALCO,gate_d:ROVAGNATE,n:532085.81:5063579.38,n:529152.42:5064918.92,174,5.082896586,3388.597724,True,-2.0900348118857437e-10,-1.4000215742271394e-07,True,PASS,False,3,7,True,True,True,0.6986084379999937,PASS,gate-d-2026-09-03-834d5caa0bfd
FIXTURE_03,gate_d:CISANO,gate_d:CALCO_SUPERIORE,n:535120.41:5065256.67,n:533292.20:5063621.50,302,10.341324985,5116.741616,True,-5.4994231390992354e-11,-3.6999153962824494e-08,True,PASS,False,3,9,True,True,True,2.535162756999995,PASS,gate-d-2026-09-03-834d5caa0bfd
FIXTURE_04,gate_d:CAPRINO,gate_d:SAN_ZENO,n:537500.90:5065813.10,n:531666.99:5064721.81,496,15.769723632,8306.755021,True,3.2799718496789865e-10,4.5800152292940766e-07,True,PASS,True,2,11,True,True,True,4.129461555999995,PASS,gate-d-2026-09-03-834d5caa0bfd
FIXTURE_05,gate_d:RAVELLINO,gate_d:CELANA,n:528637.63:5068748.11,n:538291.29:5066411.80,1242,35.056128192,19253.12211,True,2.0688872837126837e-10,1.9698563846759498e-07,True,PASS,False,3,3,True,True,True,2.1540953030000054,PASS,gate-d-2026-09-03-834d5caa0bfd
