DATAFLOW,FREQ,REF_AREA,INDICATOR,GENDER,AGE_NOCLASS,CITIZENSHIP,EDU_ATTAIN,CUR_ACT_STAT,LOC_DEST,REAS_COMMUTING,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_INDICATOR,NOTE_GENDER,NOTE_AGE_NOCLASS,NOTE_CITIZENSHIP,NOTE_EDU_ATTAIN,NOTE_CUR_ACT_STAT,NOTE_LOC_DEST,NOTE_REAS_COMMUTING,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097039,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,ALL,ALL,2019,1467,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097039,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,ALL,STD,2019,429,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097039,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,ALL,WK,2019,1038,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097039,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,OMPUR,ALL,2019,1221,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097039,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,OMPUR,STD,2019,286,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097039,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,OMPUR,WK,2019,935,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097039,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,SMPUR,ALL,2019,246,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097039,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,SMPUR,STD,2019,143,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097039,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,SMPUR,WK,2019,103,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097044,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,ALL,ALL,2019,3034,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097044,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,ALL,STD,2019,925,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097044,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,ALL,WK,2019,2109,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097044,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,OMPUR,ALL,2019,2416,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097044,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,OMPUR,STD,2019,610,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097044,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,OMPUR,WK,2019,1806,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097044,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,SMPUR,ALL,2019,618,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097044,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,SMPUR,STD,2019,315,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097044,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,SMPUR,WK,2019,303,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097048,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,ALL,ALL,2019,7915,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097048,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,ALL,STD,2019,2491,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097048,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,ALL,WK,2019,5424,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097048,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,OMPUR,ALL,2019,4690,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097048,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,OMPUR,STD,2019,789,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097048,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,OMPUR,WK,2019,3901,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097048,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,SMPUR,ALL,2019,3225,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097048,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,SMPUR,STD,2019,1702,,,,,,,,ALL_N1,99_N1,,,,,,
