physical_cluster_id,gtfs_stop_ids,gtfs_stop_names,gtfs_routes_reference,gtfs_municipalities,gtfs_record_count,osm_confirmed_element_count,osm_review_element_count,osm_confirmed_ids,osm_review_ids,cross_source_status
EX_001,100005,Brivio - s.s. briantea,D148,Brivio,1,0,0,,,GTFS_ONLY_IN_FROZEN_OSM_EXTRACT
EX_002,300063,Brivio - capolinea,D150|D185,Brivio,1,0,1,,5749603240,GTFS_PLUS_OSM_REVIEW
EX_003,300086|L00086,Brivio - beverate (cariplo),D150|D185,Brivio,2,1,0,13637768776,,GTFS_PLUS_OSM_CONFIRMED
EX_004,300087|L00087,Brivio - vaccarezza,D148|D150|D185,Brivio,2,1,0,13637768780,,GTFS_PLUS_OSM_CONFIRMED
EX_005,300089|L00089,Calco - via statale (edicola),D148|D150,Calco,2,1,0,13637611233,,GTFS_PLUS_OSM_CONFIRMED
EX_006,300207,S.Maria Hoe' - paese,D148,Santa Maria Ho̬,1,0,0,,,GTFS_ONLY_IN_FROZEN_OSM_EXTRACT
EX_007,300397,Calco - via virgilio,D185,Calco,1,1,0,14006806497,,GTFS_PLUS_OSM_CONFIRMED
EX_008,300398|L00398,Brivio - beverate (paese),D150|D185,Brivio,2,1,0,13637768777,,GTFS_PLUS_OSM_CONFIRMED
EX_009,300405|300405;L00405|L00405,Cisano - sosta,D185,Brivio,3,0,0,,,GTFS_ONLY_IN_FROZEN_OSM_EXTRACT
EX_010,300406|L00406,Brivio - via como (pizzeria),D148|D150|D185,Brivio,2,1,0,13637768781,,GTFS_PLUS_OSM_CONFIRMED
EX_011,300407,Olgiate Molgora - stazione f.s.,D184|D185,Olgiate Molgora,1,1,0,1847848087,,GTFS_PLUS_OSM_CONFIRMED
EX_012,300487|L00487,Brivio - beverate (quattro strade)|Brivio - beverate (tre strade),D150|D185,Brivio,2,1,0,13637768778,,GTFS_PLUS_OSM_CONFIRMED
EX_013,300501|300863,Monte Marenzo - levata (smalti riva)|Monte Marenzo - smalti riva,D140|VCB,Brivio,2,0,0,,,GTFS_ONLY_IN_FROZEN_OSM_EXTRACT
EX_014,300527|L00527,Airuno - elettroadda,D148|D150,Brivio,2,1,0,13637611235,,GTFS_PLUS_OSM_CONFIRMED
EX_015,300528|L00528,Calco - arlate - (provinciale)|Calco- arlate - (provinciale),D150|D170,Calco,2,1,0,13637768782,,GTFS_PLUS_OSM_CONFIRMED
EX_016,300634,Calco - via Nazionale,D185,Calco,1,0,1,,14006806498,GTFS_PLUS_OSM_REVIEW
EX_017,300638|L00638,Olginate - fornasette,D150,Brivio,2,0,0,,,GTFS_ONLY_IN_FROZEN_OSM_EXTRACT
EX_018,300728|L00728,Olgiate Molgora - via statale,D148,Olgiate Molgora,2,0,0,,,GTFS_ONLY_IN_FROZEN_OSM_EXTRACT
EX_019,300729|L00729,Calco - via virgilio (pensilina asf),D148|D185,Calco,2,1,0,14006806496,,GTFS_PLUS_OSM_CONFIRMED
EX_020,300743,Calco - arlate (cimitero),D170,Calco,1,0,0,,,GTFS_ONLY_IN_FROZEN_OSM_EXTRACT
EX_021,300746|L00746,Merate - sartirana (cimitero),D170,Calco,2,0,2,,3589784824|3589784827,GTFS_PLUS_OSM_REVIEW
EX_022,300782|L00782,S.Maria Hoe',D184,Santa Maria Ho̬,2,0,0,,,GTFS_ONLY_IN_FROZEN_OSM_EXTRACT
EX_023,300803|L00803,Olgiate Molgora - monticello scarpone,D184,Olgiate Molgora,2,0,0,,,GTFS_ONLY_IN_FROZEN_OSM_EXTRACT
EX_024,300804|L00804,Rovagnate - la pesa,D184,La Valletta Brianza,2,0,2,,4051648530|4051648531,GTFS_PLUS_OSM_REVIEW
EX_025,300805|L00904,S.Maria Hoe' - tremonte|S.Maria Hoe' - tremonte/ via trento,D184,Santa Maria Ho̬,2,0,0,,,GTFS_ONLY_IN_FROZEN_OSM_EXTRACT
EX_026,300871,S.Maria Hoe' - alduno,D184,Santa Maria Ho̬,1,0,0,,,GTFS_ONLY_IN_FROZEN_OSM_EXTRACT
EX_027,300872|L00872,Perego - s.s. 342/via s.caterina,D184,La Valletta Brianza,2,0,0,,,GTFS_ONLY_IN_FROZEN_OSM_EXTRACT
EX_028,300873|L00873,Hoe',D184,Santa Maria Ho̬,2,0,0,,,GTFS_ONLY_IN_FROZEN_OSM_EXTRACT
EX_029,300878,Rovagnate - semaforo,D184,La Valletta Brianza,1,0,1,,2428954874,GTFS_PLUS_OSM_REVIEW
EX_030,300879|L00879,Rovagnate - vinicola ghezzi,D160|D184,La Valletta Brianza,2,0,0,,,GTFS_ONLY_IN_FROZEN_OSM_EXTRACT
EX_031,300886|L00886,Imbersago - arlate (fiorista),D150|D170,Calco,2,1,0,13637768783,,GTFS_PLUS_OSM_CONFIRMED
EX_032,300902|L00902,S.Maria Hoe' - alpino,D148|D184,Santa Maria Ho̬,2,0,0,,,GTFS_ONLY_IN_FROZEN_OSM_EXTRACT
EX_033,300903,S.Maria Hoe' - tremonte/via leopardi,D184,Santa Maria Ho̬,1,0,0,,,GTFS_ONLY_IN_FROZEN_OSM_EXTRACT
EX_034,300908,Calolziocorte - gerola capolinea arrivo,VCB,Brivio,1,0,0,,,GTFS_ONLY_IN_FROZEN_OSM_EXTRACT
EX_035,300956,"Calco - via nazionale, 85",D148|D150|D185,Olgiate Molgora,1,0,1,,13637611234,GTFS_PLUS_OSM_REVIEW
EX_036,L00063,Brivio - capolinea,D148|D150|D185,Brivio,1,1,0,5749368666,,GTFS_PLUS_OSM_CONFIRMED
EX_037,L00207,S.Maria Hoe' - paese,D148,Santa Maria Ho̬,1,0,0,,,GTFS_ONLY_IN_FROZEN_OSM_EXTRACT
EX_038,L00397,Calco - via virgilio,D185,Calco,1,0,0,,,GTFS_ONLY_IN_FROZEN_OSM_EXTRACT
EX_039,L00407,Olgiate Molgora (stazione f.s.),D184|D185,Olgiate Molgora,1,0,1,,14006806495,GTFS_PLUS_OSM_REVIEW
EX_040,L00504,Monte Marenzo - bisone via industriale,D140|VCB,Brivio,1,0,0,,,GTFS_ONLY_IN_FROZEN_OSM_EXTRACT
EX_041,L00871,S.Maria Hoe' - alduno,D184,Santa Maria Ho̬,1,0,0,,,GTFS_ONLY_IN_FROZEN_OSM_EXTRACT
EX_042,L00878,Rovagnate - semaforo,D184,La Valletta Brianza,1,0,1,,2428954867,GTFS_PLUS_OSM_REVIEW
EX_043,L00956,Calco - via nazionale (peugeot),D150,Olgiate Molgora,1,0,0,,,GTFS_ONLY_IN_FROZEN_OSM_EXTRACT
