polygon_municipality,asf_stop_name,asf_stop_code,route_id,source_endpoint,source_status
La Valletta Brianza,Rovagnate - S.S. - Ang. V. Lombardia,ROVAGR01,2:C_46,https://transitpay.asfautolinee.it/otp/routers/default/index/routes/2:C_46/stops,OFFICIAL_ASF_OTP_EXTRACT_REPORTED_BY_PARALLEL_EXECUTOR
La Valletta Brianza,Rovagnate - Strada Statale - AGIP,ROVAGA03,2:C_46,https://transitpay.asfautolinee.it/otp/routers/default/index/routes/2:C_46/stops,OFFICIAL_ASF_OTP_EXTRACT_REPORTED_BY_PARALLEL_EXECUTOR
La Valletta Brianza,Rovagnate - Strada Statale - AGIP,ROVAGR03,2:C_46,https://transitpay.asfautolinee.it/otp/routers/default/index/routes/2:C_46/stops,OFFICIAL_ASF_OTP_EXTRACT_REPORTED_BY_PARALLEL_EXECUTOR
La Valletta Brianza,Perego - Via Statale 79,PERE_A01,2:C_46,https://transitpay.asfautolinee.it/otp/routers/default/index/routes/2:C_46/stops,OFFICIAL_ASF_OTP_EXTRACT_REPORTED_BY_PARALLEL_EXECUTOR
La Valletta Brianza,Perego - Via Statale 79,PERE_R01,2:C_46,https://transitpay.asfautolinee.it/otp/routers/default/index/routes/2:C_46/stops,OFFICIAL_ASF_OTP_EXTRACT_REPORTED_BY_PARALLEL_EXECUTOR
Santa Maria Hoè,Santa Maria Hoè - Via Giovanni XXIII,SAMAHA04,2:C_46,https://transitpay.asfautolinee.it/otp/routers/default/index/routes/2:C_46/stops,OFFICIAL_ASF_OTP_EXTRACT_REPORTED_BY_PARALLEL_EXECUTOR
Santa Maria Hoè,Santa Maria Hoè - Via Giovanni XXIII,SAMAHR04,2:C_46,https://transitpay.asfautolinee.it/otp/routers/default/index/routes/2:C_46/stops,OFFICIAL_ASF_OTP_EXTRACT_REPORTED_BY_PARALLEL_EXECUTOR
Santa Maria Hoè,Santa Maria Hoè - Via Como,SAMAHA01,2:C_46,https://transitpay.asfautolinee.it/otp/routers/default/index/routes/2:C_46/stops,OFFICIAL_ASF_OTP_EXTRACT_REPORTED_BY_PARALLEL_EXECUTOR
Santa Maria Hoè,Santa Maria Hoè - Via Como,SAMAHR01,2:C_46,https://transitpay.asfautolinee.it/otp/routers/default/index/routes/2:C_46/stops,OFFICIAL_ASF_OTP_EXTRACT_REPORTED_BY_PARALLEL_EXECUTOR
Santa Maria Hoè,S. Maria Hoè - S.P. 58 ang. Via Cenisio,SAMAHA03,2:C_46,https://transitpay.asfautolinee.it/otp/routers/default/index/routes/2:C_46/stops,OFFICIAL_ASF_OTP_EXTRACT_REPORTED_BY_PARALLEL_EXECUTOR
Santa Maria Hoè,S. Maria Hoè - S.P. 58 ang. Via Cenisio,SAMAHR03,2:C_46,https://transitpay.asfautolinee.it/otp/routers/default/index/routes/2:C_46/stops,OFFICIAL_ASF_OTP_EXTRACT_REPORTED_BY_PARALLEL_EXECUTOR
Santa Maria Hoè,Rovagnate - Frazione Alduno,ROVAGA04,2:C_46,https://transitpay.asfautolinee.it/otp/routers/default/index/routes/2:C_46/stops,OFFICIAL_ASF_OTP_EXTRACT_REPORTED_BY_PARALLEL_EXECUTOR
Santa Maria Hoè,Rovagnate - Frazione Alduno,ROVAGAR4,2:C_46,https://transitpay.asfautolinee.it/otp/routers/default/index/routes/2:C_46/stops,OFFICIAL_ASF_OTP_EXTRACT_REPORTED_BY_PARALLEL_EXECUTOR
