osm_type,osm_id,osm_lon,osm_lat,osm_name,osm_name_norm,osm_ref,osm_network,osm_operator,osm_public_transport,osm_highway,osm_bus,osm_shelter,osm_bench,osm_departures_board,osm_tactile_paving,matched_physical_cluster_id,match_status,match_distance_m,match_exact_ref,match_exact_name,match_token_jaccard,nearest_gtfs_cluster_id_even_if_unmatched,nearest_gtfs_distance_m,second_nearest_gtfs_distance_m,gtfs_cluster_names,gtfs_cluster_routes,gtfs_cluster_municipalities,epistemic_status
node,13634821500,9.4544622,45.7559625,Cisano - rotonda (via mayer),cisano rotonda via mayer,,,,platform,bus_stop,,,,,,,OSM_ONLY_UNMATCHED_REFERENCE_GTFS,1324.974,False,False,0.0,EX_040,1324.974,1643.96,,,,FACT_OSM_OBSERVATION_UNCONFIRMED_BY_REFERENCE_GTFS
node,13637611236,9.4265994,45.7554554,Airuno - statale,airuno statale,,,,platform,bus_stop,yes,,,,,,OSM_ONLY_UNMATCHED_REFERENCE_GTFS,1459.449,False,False,0.0,EX_017,1459.449,1576.48,,,,FACT_OSM_OBSERVATION_UNCONFIRMED_BY_REFERENCE_GTFS
node,13637768775,9.4267657,45.7553131,Airuno - statale,airuno statale,,,,platform,bus_stop,yes,,,,,,OSM_ONLY_UNMATCHED_REFERENCE_GTFS,1476.45,False,False,0.0,EX_017,1476.45,1562.908,,,,FACT_OSM_OBSERVATION_UNCONFIRMED_BY_REFERENCE_GTFS
node,13637768784,9.4441009,45.7149035,Imbersago - madonna bosco,imbersago madonna bosco,,,,platform,bus_stop,yes,,,,,,OSM_ONLY_UNMATCHED_REFERENCE_GTFS,377.749,False,False,0.2,EX_031,377.749,955.154,,,,FACT_OSM_OBSERVATION_UNCONFIRMED_BY_REFERENCE_GTFS
node,3589553063,9.4180752,45.7135963,,,,,,platform,bus_stop,yes,,,,,,OSM_ONLY_UNMATCHED_REFERENCE_GTFS,828.005,False,False,0.0,EX_021,828.005,1158.404,,,,FACT_OSM_OBSERVATION_UNCONFIRMED_BY_REFERENCE_GTFS
node,3589702911,9.4180216,45.7143343,,,,,,platform,bus_stop,yes,,,,,,OSM_ONLY_UNMATCHED_REFERENCE_GTFS,762.858,False,False,0.0,EX_021,762.858,1077.271,,,,FACT_OSM_OBSERVATION_UNCONFIRMED_BY_REFERENCE_GTFS
node,3589822002,9.4214709,45.7167969,,,,,,platform,bus_stop,yes,,,,,,OSM_ONLY_UNMATCHED_REFERENCE_GTFS,387.055,False,False,0.0,EX_021,387.055,922.824,,,,FACT_OSM_OBSERVATION_UNCONFIRMED_BY_REFERENCE_GTFS
node,3589822072,9.4216077,45.7167988,,,,,,platform,bus_stop,yes,,,,,,OSM_ONLY_UNMATCHED_REFERENCE_GTFS,381.91,False,False,0.0,EX_021,381.91,928.38,,,,FACT_OSM_OBSERVATION_UNCONFIRMED_BY_REFERENCE_GTFS
node,5913688048,9.4080479,45.7168127,CALCO Via Statale/Scagnello (Esselunga),calco via statale scagnello esselunga,,,,platform,bus_stop,yes,yes,yes,,yes,,OSM_ONLY_UNMATCHED_REFERENCE_GTFS,919.219,False,False,0.1429,EX_019,919.219,953.735,,,,FACT_OSM_OBSERVATION_UNCONFIRMED_BY_REFERENCE_GTFS
node,5913688049,9.4082853,45.7169204,,,,,,platform,bus_stop,yes,yes,yes,,yes,,OSM_ONLY_UNMATCHED_REFERENCE_GTFS,904.252,False,False,0.0,EX_019,904.252,933.326,,,,FACT_OSM_OBSERVATION_UNCONFIRMED_BY_REFERENCE_GTFS
