structural_link_id,terminal_a,terminal_b,eligibility_status,eligible_for_bidirectional_undirected_structure,a_to_b_requested,a_to_b_pair_id,a_to_b_gate_d_route_found,a_to_b_admitted_corridor_count,a_to_b_min_running_minutes_model,a_to_b_min_distance_m,b_to_a_requested,b_to_a_pair_id,b_to_a_gate_d_route_found,b_to_a_admitted_corridor_count,b_to_a_min_running_minutes_model,b_to_a_min_distance_m,scope
STRUCT_LINK_2C4FC3240D24066A,ASF::ROVAGNATE_FRAZIONE_ALDUNO,ASF::SANTA_MARIA_HOE_VIA_COMO,RECIPROCAL_BIDIRECTIONAL_CORRIDOR_AVAILABLE,True,True,DIR_PAIR_425666FF8FD4C081,True,1,2.606010961,1467.360027,True,DIR_PAIR_86C32EE83FECCEB5,True,2,2.652708985,1496.942613,RECIPROCAL_BIDIRECTIONAL_STRUCTURAL_LINK_INTERFACE_NOT_NETWORK_SELECTION
STRUCT_LINK_31F0016FDD358A6A,ASF::OLGIATE_MOLGORA_VIA_STATALE,FROZEN::100005,RECIPROCAL_BIDIRECTIONAL_CORRIDOR_AVAILABLE,True,True,DIR_PAIR_9F090266F1A39CB2,True,1,6.879993372,2775.424388,True,DIR_PAIR_0A38186C0A3622B6,True,1,5.431292169,2916.594631,RECIPROCAL_BIDIRECTIONAL_STRUCTURAL_LINK_INTERFACE_NOT_NETWORK_SELECTION
STRUCT_LINK_32391E879CF5D7F5,ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,ASF::ARLATE_CANTINA_PIROVANO,RECIPROCAL_BIDIRECTIONAL_CORRIDOR_AVAILABLE,True,True,DIR_PAIR_87EA17E8680BDFEF,True,1,3.072931084,1280.387952,True,DIR_PAIR_D6B5239795F9C609,True,1,3.072931084,1280.387952,RECIPROCAL_BIDIRECTIONAL_STRUCTURAL_LINK_INTERFACE_NOT_NETWORK_SELECTION
STRUCT_LINK_3241DFB72907600A,ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,ASF::CALCO_LARGO_POMEA,RECIPROCAL_BIDIRECTIONAL_CORRIDOR_AVAILABLE,True,True,DIR_PAIR_24217722AB06CFA6,True,1,2.751667998,1358.946319,True,DIR_PAIR_259A122F1D1F80C2,True,2,2.248158015,1246.932952,RECIPROCAL_BIDIRECTIONAL_STRUCTURAL_LINK_INTERFACE_NOT_NETWORK_SELECTION
STRUCT_LINK_343484586525B10C,ASF::BRIVIO_BAR_CRISTALLO,FROZEN::300086,RECIPROCAL_BIDIRECTIONAL_CORRIDOR_AVAILABLE,True,True,DIR_PAIR_C800983B58E51B1C,True,1,4.57849164,1938.067697,True,DIR_PAIR_14B126E1672FC1D1,True,1,4.57849164,1938.067697,RECIPROCAL_BIDIRECTIONAL_STRUCTURAL_LINK_INTERFACE_NOT_NETWORK_SELECTION
STRUCT_LINK_36F28608DDE16D7D,ASF::BEVERATE_CARTELLO_PAESE,FROZEN::300487,RECIPROCAL_BIDIRECTIONAL_CORRIDOR_AVAILABLE,True,True,DIR_PAIR_5C5A748BB9918887,True,1,0.224542643,103.008204,True,DIR_PAIR_F6266135D657FDC5,True,1,0.204485202,92.790267,RECIPROCAL_BIDIRECTIONAL_STRUCTURAL_LINK_INTERFACE_NOT_NETWORK_SELECTION
STRUCT_LINK_37F897D6040146AC,FROZEN::100005,FROZEN::L00407,RECIPROCAL_BIDIRECTIONAL_CORRIDOR_AVAILABLE,True,True,DIR_PAIR_1D7EE9B527D6B2E8,True,1,5.261623647,2640.846547,True,DIR_PAIR_9126BB6DC91D1726,True,2,5.481126805,2358.802924,RECIPROCAL_BIDIRECTIONAL_STRUCTURAL_LINK_INTERFACE_NOT_NETWORK_SELECTION
STRUCT_LINK_425740120C3252ED,FROZEN::100005,FROZEN::300956,RECIPROCAL_BIDIRECTIONAL_CORRIDOR_AVAILABLE,True,True,DIR_PAIR_A0AF8AE0488011DA,True,1,0.732327357,488.218238,True,DIR_PAIR_8271CA8FA59850F2,True,2,0.848847305,431.634086,RECIPROCAL_BIDIRECTIONAL_STRUCTURAL_LINK_INTERFACE_NOT_NETWORK_SELECTION
STRUCT_LINK_4459F2AFBE346622,FROZEN::300956,MANUAL::CALCO_SCAGNELLO,RECIPROCAL_BIDIRECTIONAL_CORRIDOR_AVAILABLE,True,True,DIR_PAIR_A0B9ACEFA3BEF0CB,True,1,4.316503615,2688.441657,True,DIR_PAIR_C72F36FD25DC0A76,True,2,4.33627088,2701.056121,RECIPROCAL_BIDIRECTIONAL_STRUCTURAL_LINK_INTERFACE_NOT_NETWORK_SELECTION
STRUCT_LINK_44F35A3BE9FE4F41,ASF::CALCO_VIA_GARIBALDI,MANUAL::CALCO_SCAGNELLO,RECIPROCAL_BIDIRECTIONAL_CORRIDOR_AVAILABLE,True,True,DIR_PAIR_794D9584C898E8C2,True,3,2.316066665,1282.870398,True,DIR_PAIR_97DC0D855572AEDE,True,3,2.350792882,1273.937824,RECIPROCAL_BIDIRECTIONAL_STRUCTURAL_LINK_INTERFACE_NOT_NETWORK_SELECTION
