fixture_id,certified_baseline_physical_node_loop,unique_admitted_paths_in_grid_union,unique_nonbaseline_paths_in_grid_union,unique_first_nonbaseline_path_variants_across_configs,first_nonbaseline_path_ids_seen,configs_total,configs_with_nonbaseline_alternative,sensitivity_semantics
FIXTURE_01,False,2,1,1,PATH_87094F9F2C8AF468,12,6,DESCRIPTIVE_ONLY_NO_PARAMETER_CONFIGURATION_SELECTED
FIXTURE_02,False,5,4,2,PATH_112908871458E773|PATH_8EDED4844CBAE04D,12,7,DESCRIPTIVE_ONLY_NO_PARAMETER_CONFIGURATION_SELECTED
FIXTURE_03,False,6,5,4,PATH_08116E176F1F4C61|PATH_0AA0C9A5D55A15E5|PATH_1AC8C898B79FCF32|PATH_59C5F9184DF8BFD1,12,12,DESCRIPTIVE_ONLY_NO_PARAMETER_CONFIGURATION_SELECTED
FIXTURE_04,True,7,7,3,PATH_8A5E5BB9001BB627|PATH_B0482F8552B301DD|PATH_F6A408F63B07F99C,12,12,DESCRIPTIVE_ONLY_NO_PARAMETER_CONFIGURATION_SELECTED
FIXTURE_05,False,5,4,3,PATH_3F50B68C45BF56C2|PATH_A70A58C11DA71F5D|PATH_FD17D8151A79983E,12,12,DESCRIPTIVE_ONLY_NO_PARAMETER_CONFIGURATION_SELECTED
